[INFO] 11:21:03 - root - Logging initialized. Logs stored in C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\loggers
[INFO] 11:21:03 - root - Test the custom logger
[INFO] 11:21:03 - __main__ - Game starting up...
[INFO] 11:21:15 - src.game - [CONFIG] Game, image, and sound configs loaded
[INFO] 11:21:23 - src.game - [INFO] effects, pickups, mobs, player, weapons images loaded
[WARNING] 11:21:23 - loggers.logging_fnc - [IMAGES] 'harpoon' height doesn't fit tile size.
[INFO] 11:21:23 - src.game - [OK] Loaded mesh: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\test_anti_g.npy
[WARNING] 11:21:23 - src.game - [WARNING] Mesh file not found: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\level1_anti_g.npy
[WARNING] 11:21:23 - src.game - [WARNING] Mesh file not found: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\test_waterflow.npy
[WARNING] 11:21:23 - src.game - [WARNING] Mesh file not found: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\level1_waterflow.npy
[INFO] 11:21:23 - src.game - [INFO] music, ambient sounds loaded
[WARNING] 11:21:28 - loggers.logging_fnc - [PERF] Critical low FPS: 9.9
[WARNING] 11:21:29 - loggers.logging_fnc - [PERF] Critical low FPS: 9.9
[WARNING] 11:21:29 - loggers.logging_fnc - [PERF] Critical low FPS: 9.9
[WARNING] 11:21:29 - loggers.logging_fnc - [PERF] Critical low FPS: 9.9
[WARNING] 11:21:29 - loggers.logging_fnc - [PERF] Critical low FPS: 9.9
[WARNING] 11:21:29 - loggers.logging_fnc - [PERF] Critical low FPS: 9.9
[WARNING] 11:21:29 - loggers.logging_fnc - [PERF] Critical low FPS: 9.9
[WARNING] 11:21:29 - loggers.logging_fnc - [PERF] Critical low FPS: 9.9
[WARNING] 11:21:29 - loggers.logging_fnc - [PERF] Critical low FPS: 9.9
[WARNING] 11:21:29 - loggers.logging_fnc - [PERF] Critical low FPS: 9.7
[WARNING] 11:21:29 - loggers.logging_fnc - [PERF] Critical low FPS: 9.7
[WARNING] 11:21:30 - loggers.logging_fnc - [PERF] Critical low FPS: 9.7
[WARNING] 11:21:30 - loggers.logging_fnc - [PERF] Critical low FPS: 9.7
[WARNING] 11:21:30 - loggers.logging_fnc - [PERF] Critical low FPS: 9.7
[WARNING] 11:21:30 - loggers.logging_fnc - [PERF] Critical low FPS: 9.7
[WARNING] 11:21:30 - loggers.logging_fnc - [PERF] Critical low FPS: 9.7
[WARNING] 11:21:30 - loggers.logging_fnc - [PERF] Critical low FPS: 9.7
[WARNING] 11:21:30 - loggers.logging_fnc - [PERF] Critical low FPS: 9.7
[WARNING] 11:21:30 - loggers.logging_fnc - [PERF] Critical low FPS: 9.7
[WARNING] 11:21:30 - loggers.logging_fnc - [PERF] Critical low FPS: 10.1
[WARNING] 11:21:30 - loggers.logging_fnc - [PERF] Critical low FPS: 10.1
[WARNING] 11:21:31 - loggers.logging_fnc - [PERF] Critical low FPS: 10.1
[WARNING] 11:21:31 - loggers.logging_fnc - [PERF] Critical low FPS: 10.1
[WARNING] 11:21:31 - loggers.logging_fnc - [PERF] Critical low FPS: 10.1
[WARNING] 11:21:31 - loggers.logging_fnc - [PERF] Critical low FPS: 10.1
[WARNING] 11:21:31 - loggers.logging_fnc - [PERF] Critical low FPS: 10.1
[WARNING] 11:21:31 - loggers.logging_fnc - [PERF] Critical low FPS: 10.1
[WARNING] 11:21:31 - loggers.logging_fnc - [PERF] Critical low FPS: 10.1
